objectID,title,description,category,type,anchor,url
admin-ordersNotesList,ordersNotesList,Retrieve a list of all order notes in an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersNotesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersNotesList
admin-ordersNotesCreate,ordersNotesCreate,Create an order note in an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersNotesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersNotesCreate
admin-ordersRefundCreate,ordersRefundCreate,Refund an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersRefundCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersRefundCreate
admin-ordersRefundCalculateCreate,ordersRefundCalculateCreate,,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersRefundCalculateCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersRefundCalculateCreate
admin-pagesList,pagesList,Retrieve a list of pages.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesList
admin-pagesCreate,pagesCreate,Create a new page.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesCreate
admin-pagesDestroy,pagesDestroy,Delete an existing page.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesDestroy
admin-pagesRetrieve,pagesRetrieve,Retrieve a page.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesRetrieve
admin-pagesPartialUpdate,pagesPartialUpdate,Partially update an existing page.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesPartialUpdate
admin-pagesUpdate,pagesUpdate,Update an existing page.,Admin API,storefront,/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/pagesUpdate
admin-productsList,productsList,Retrieve a list of all products.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsList
admin-productsCreate,productsCreate,Create a new product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsCreate
admin-productsVariantsDestroy,productsVariantsDestroy,,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsDestroy
admin-productsVariantsRetrieve,productsVariantsRetrieve,,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsRetrieve
admin-productsVariantsPartialUpdate,productsVariantsPartialUpdate,,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsPartialUpdate
admin-productsVariantsUpdate,productsVariantsUpdate,,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsVariantsUpdate
admin-productsDestroy,productsDestroy,Delete an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsDestroy
admin-productsRetrieve,productsRetrieve,Retrieve a product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsRetrieve
admin-productsPartialUpdate,productsPartialUpdate,Partially update an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsPartialUpdate
admin-productsUpdate,productsUpdate,Update an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsUpdate
admin-productsImageList,productsImageList,Retrieve a list of all images from a product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageList
admin-productsImageCreate,productsImageCreate,Create a new image in an existing product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageCreate
admin-productsImageDelete,productsImageDelete,Delete an image of the product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageDelete,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageDelete
admin-productsImageDetail,productsImageDetail,Retrieve the details of an image from a product.,Admin API,products,/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageDetail,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/productsImageDetail
